studyID,studyName,species,treatment,treatment.year,%BA-removed,treatment.notes,measurement.year,responseVariable,units,mean_treatment,n_treatment,sd_treatment,se_treatment,mean_control,n_control,sd_control,se_control,disturbance,disturbanceStart,disturbanceEnd,mortalityAgent,method,SiteName,latitude coordinate,longitude coordinate,comment,"Carbon-vs-Mortality (1=Carbon, 2=Mortality)",ImputedBAremoved? (1=yes),ImputedSD? (1=yes),MortalityAttributionUncertain (1=yes),PercentComposition,"GroupingFlags (same number = should be grouped later, recycle numbers between studies. If nothing should be grouped, write NA)",Nis2,NoTrueControl,thin_severity,Olson_Biome,cwd,map,vpd,mat
149,Sullivan et al 2004,Pinus palustris,Mid intensity burn,1997,,,2000,Cumulative mortality,fraction,0.128727616,4,0.05917107,0.029585535,0.0576190519,4,0.03667988,0.018339938,insects,1998,2000,,Field experiment,"Savannah River Site, National Environmental Research Park, Barnwell County, South Carolina, USA",33.36,-81.6,,2,0,0,1,,NA,0,0,,Temperate Conifer Forests,338.68,519.5,0.46997222,2.03713889
149,Sullivan et al 2005,Pinus palustris,High intensity burn,1997,,,2000,Cumulative mortality,fraction,0.229197066,4,0.12698351,0.063491754,0.0576190519,4,0.03667988,0.018339938,insects,1998,2000,,Field experiment,"Savannah River Site, National Environmental Research Park, Barnwell County, South Carolina, USA",33.36,-81.6,,2,0,0,1,,NA,0,0,,Temperate Conifer Forests,338.68,519.5,0.46997222,2.03713889
181,D'amato et al 2011,Picea glauca,Thinning,1999-2002,51,,2004-2007,Stem mortality rate,fraction,0.057,30,0.07668115805,0.014,0.14,30,0.07668115805,0.014,insects,2002,2005,spruce budworm,Field experiment,Northern Minnesota,47.7,-91.935,,2,0,0,0,,NA,0,0,high,Temperate Conifer Forests,338.68,519.5,0.46997222,2.03713889
187,Stark et al 2013,Abies concolor (small),Rx fire,2002,3.2,,2005,Basal area mortality rate,fraction,0.0062,20,0.0067082,0.0015,0.0019,20,0.00491935,0.0011,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1,0,0,,Temperate Conifer Forests,338.68,519.5,0.46997222,2.03713889
187,Stark et al 2013,Abies concolor (medium),Rx fire,2002,3.2,,2005,Basal area mortality rate,fraction,0.0019,20,0.00491935,0.0011,0.0007,20,0.00178885,0.0004,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1,0,0,,Temperate Conifer Forests,338.68,519.5,0.46997222,2.03713889
187,Stark et al 2013,Abies concolor (large),Rx fire,2002,3.2,,2005,Basal area mortality rate,fraction,0.0005,20,0.00134164,0.0003,0.0011,20,0.00447214,0.001,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1,0,0,,Temperate Conifer Forests,338.68,519.5,0.46997222,2.03713889
187,Stark et al 2013,Abies concolor (small),thinning,2002,21.1,,2005,Basal area mortality rate,fraction,0.0019,20,0.00044721,0.0001,0.0019,20,0.00491935,0.0011,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2,0,0,low,Temperate Conifer Forests,338.68,519.5,0.46997222,2.03713889
187,Stark et al 2013,Abies concolor (medium),thinning,2002,21.1,,2005,Basal area mortality rate,fraction,0,20,0,0,0.0007,20,0.00178885,0.0004,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2,0,0,low,Temperate Conifer Forests,338.68,519.5,0.46997222,2.03713889
187,Stark et al 2013,Abies concolor (large),thinning,2002,21.1,,2005,Basal area mortality rate,fraction,0.0003,20,0.00134164,0.0003,0.0011,20,0.00447214,0.001,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2,0,0,low,Temperate Conifer Forests,338.68,519.5,0.46997222,2.03713889
187,Stark et al 2013,Abies concolor (small),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,fraction,0.0011,20,0.00357771,0.0008,0.0019,20,0.00491935,0.0011,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3,0,0,,Temperate Broadleaf and Mixed Forests,54.7366667,739.033333,0.33825,3.17934722
187,Stark et al 2013,Abies concolor (medium),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,fraction,0.0016,20,0.00715542,0.0016,0.0007,20,0.00178885,0.0004,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3,0,0,,Temperate Conifer Forests,507.203333,479.223333,0.61358333,4.53041667
187,Stark et al 2013,Abies concolor (large),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,fraction,0.0022,20,0.00804984,0.0018,0.0011,20,0.00447214,0.001,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3,0,0,,Temperate Conifer Forests,507.203333,479.223333,0.61358333,4.53041667
187,Stark et al 2013,Pinus lambertiana (small),Rx fire,2002,3.2,,2005,Basal area mortality rate,fraction,0.0144,20,0.03354102,0.0075,0.0108,20,0.04829907,0.0108,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1,0,0,,Temperate Conifer Forests,507.203333,479.223333,0.61358333,4.53041667
187,Stark et al 2013,Pinus lambertiana (medium),Rx fire,2002,3.2,,2005,Basal area mortality rate,fraction,0.0594,20,0.15384148,0.0344,0.0012,20,0.00536656,0.0012,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1,0,0,,Temperate Conifer Forests,507.203333,479.223333,0.61358333,4.53041667
